price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
1700000,Darlinghurst,2,2,1,125,Apartment / Unit / Flat,11320,66820,0.857,-33.8794,151.22078,50,1.5,174.0,1.87,2017.0,11.0
2050000,Redfern,2,4,1,126,House,13213,51532,1.172,-33.89313,151.20653,40,0.1,210.1,3.12,2021.0,8.0
1100000,Wyongah,2,4,2,575,House,2020,32448,1.068,-33.27022,151.48554,22,0.1,220.1,70.78,2021.0,12.0
2470000,Cherrybrook,3,6,2,730,House,18765,39936,8.26,-33.72178,151.04593,156,0.1,220.1,21.99,2021.0,11.0
4350000,Bronte,2,4,1,354,House,6733,65572,1.331,-33.90426,151.26358,71,0.1,210.1,6.59,2021.0,7.0
810000,Marsfield,1,2,1,177,Villa,13297,32448,3.863,-33.77752,151.10509,87,0.25,167.6,13.73,2020.0,8.0
875000,Panania,2,3,1,556,House,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,2016.0,2.0
1520000,Mount Colah,1,3,2,700,House,7095,43056,11.062,-33.66638,151.12988,117,0.1,220.1,23.26,2021.0,10.0
3200000,Glebe,3,3,2,288,House,11532,43368,1.693,-33.87781,151.18626,29,1.5,174.0,2.6,2017.0,9.0
2056000,Maroubra,2,3,3,363,House,30688,40248,5.923,-33.94543,151.24625,32,0.75,169.6,9.52,2020.0,2.0
901000,Kings Langley,1,3,4,690,House,9353,42900,3.667,-33.75075,150.93583,81,0.75,169.6,28.37,2019.0,12.0
2600000,Pearl Beach,1,3,1,550,House,536,35568,1.257,-33.54226,151.30629,12,0.1,220.1,36.91,2021.0,11.0
435000,Budgewoi,2,3,1,569,House,3360,29120,2.814,-33.23957,151.56058,3,2.0,155.2,76.65,2016.0,4.0
1756000,Oyster Bay,2,4,3,582,House,5488,47736,2.101,-34.0069,151.08096,11,0.1,220.1,19.73,2021.0,10.0
810000,South Penrith,3,5,3,651,House,11790,37024,5.06,-33.7734,150.69863,50,0.75,166.4,48.41,2019.0,11.0
1660000,Kellyville,2,4,2,406,House,27971,46228,18.645,-33.69583,150.95622,78,0.1,197.9,30.08,2021.0,4.0
460000,Ingleburn,1,3,1,250,Villa,15039,33124,12.454,-34.0051,150.8581,41,1.5,174.0,36.04,2017.0,9.0
1320000,Bonnet Bay,2,5,1,597,House,2262,49868,1.13,-34.01049,151.054,45,0.1,183.1,21.63,2021.0,2.0
3135000,Warrawee,3,5,3,936,House,2995,51636,1.338,-33.72878,151.12144,187,0.1,210.1,17.2,2021.0,12.0
1103500,Canley Vale,3,5,1,534,House,10216,20592,2.887,-33.88495,150.95058,11,0.1,197.9,24.09,2021.0,10.0
2870000,Homebush,1,3,1,551,House,7007,37908,2.503,-33.86058,151.07927,17,0.1,220.1,12.1,2021.0,10.0
3250000,Freshwater,3,3,2,840,House,8866,57044,1.782,-33.77603,151.28481,18,0.1,210.1,12.07,2021.0,6.0
2100000,Woolooware,1,2,1,556,House,3962,44408,1.86,-34.0446,151.1403,16,0.1,220.1,20.92,2021.0,10.0
1230000,Richmond,3,4,3,895,House,5482,32812,26.813,-33.60517,150.75869,22,0.25,172.6,50.79,2020.0,10.0
745000,Killarney Vale,4,5,2,758,House,7216,30108,3.018,-33.36629,151.4607,8,0.25,167.6,60.03,2020.0,6.0
3970000,St Ives,4,6,2,1056,House,17300,48464,14.264,-33.72491,151.16978,167,0.75,169.6,15.99,2020.0,2.0
2932000,Eastwood,2,4,2,954,House,17865,30368,5.194,-33.78849,151.08514,75,0.1,220.1,14.34,2021.0,12.0
1015000,Umina Beach,2,3,2,525,House,16733,29380,6.988,-33.5194,151.31264,8,0.1,220.1,39.51,2021.0,12.0
1585000,Harrington Park,2,6,2,702,House,10663,44668,8.004,-34.02561,150.73523,74,0.1,220.1,47.35,2021.0,10.0
9125000,Tamarama,2,3,2,580,House,1622,73528,0.3,-33.89903,151.27112,26,0.25,167.6,6.8,2020.0,6.0
1755000,East Lindfield,2,4,2,1200,House,3711,47788,2.331,-33.76741,151.18832,107,1.5,154.2,11.02,2019.0,2.0
1495000,Kareela,2,3,2,563,House,3459,41132,1.6,-34.01795,151.0826,37,0.1,220.1,20.63,2021.0,9.0
1070000,Faulconbridge,3,4,3,4300,House,4025,41184,14.932,-33.68513,150.55384,405,1.5,174.0,63.97,2017.0,9.0
2200000,Gladesville,2,3,1,594,House,11827,48568,3.507,-33.82789,151.12645,46,1.5,174.2,8.76,2017.0,7.0
1472500,Marsden Park,3,5,2,363,House,1008,32500,23.354,-33.69979,150.81845,36,0.1,220.1,40.63,2021.0,10.0
1920000,Glebe,1,3,1,125,House,11532,43368,1.693,-33.87781,151.18626,29,1.5,174.2,2.6,2017.0,8.0
1010000,Cecil Hills,2,4,2,421,House,7018,34944,6.218,-33.88752,150.84426,63,0.1,220.1,33.92,2021.0,11.0
1286043,Marayong,1,3,1,1115,House,7706,30992,2.72,-33.74925,150.89081,39,0.1,220.1,32.22,2021.0,11.0
835000,Terrigal,2,4,2,789,House,11349,38168,8.691,-33.44581,151.42873,68,1.5,166.6,50.75,2018.0,7.0
707500,Oran Park,2,4,2,375,House,4765,50336,13.744,-33.99074,150.74247,81,0.75,166.4,45.41,2019.0,11.0
3613000,Elanora Heights,3,5,2,596,House,4357,44460,3.877,-33.70172,151.27318,105,0.1,197.9,19.05,2021.0,5.0
2511000,Turramurra,3,5,2,900,House,11919,49920,6.001,-33.73444,151.12793,183,1.5,167.6,16.36,2016.0,11.0
1900000,Chain Valley Bay,3,3,2,556,House,2459,24596,5.598,-33.16376,151.57299,20,0.1,220.1,84.79,2021.0,10.0
2000000,Killcare Heights,3,5,2,899,House,745,40716,2.146,-33.52256,151.37418,127,0.1,183.1,40.94,2021.0,1.0
3100000,Annandale,2,5,1,291,House,9451,60424,1.493,-33.87982,151.16973,24,0.1,220.1,4.06,2021.0,12.0
2300000,Blackwall,3,4,2,960,House,1888,31148,1.143,-33.50518,151.33518,80,1.77,155.2,41.58,2016.0,5.0
685000,Yagoona,2,4,1,480,House,18013,24284,4.618,-33.90422,151.02148,44,1.5,153.5,17.96,2019.0,4.0
1550000,Killcare Heights,2,4,5,7008,House,745,40716,2.146,-33.52256,151.37418,127,0.11,172.6,40.94,2020.0,11.0
1300000,Blakehurst,2,4,1,467,House,6219,37700,2.313,-33.99061,151.10947,37,1.5,174.2,16.73,2017.0,7.0
1850000,Marsfield,2,3,1,461,House,13297,32448,3.863,-33.77752,151.10509,87,0.1,210.1,13.73,2021.0,10.0
2430000,Potts Point,3,3,0,132,Terrace,9423,69160,0.62,-33.86528,151.22607,7,0.1,220.1,1.5,2021.0,11.0
1890000,East Lindfield,3,4,4,1328,House,3711,47788,2.331,-33.76741,151.18832,107,2.0,155.2,11.02,2016.0,12.0
2050000,Green Valley,3,9,2,1466,House,12516,26312,3.215,-33.90263,150.86967,73,0.1,220.1,31.75,2021.0,12.0
1165000,Toongabbie,2,5,5,556,House,14337,34996,4.733,-33.79196,150.9468,39,0.1,220.1,25.67,2021.0,12.0
1520000,Burwood Heights,2,6,4,658,House,989,32292,0.226,-33.8894,151.10403,47,1.5,160.5,10.16,2018.0,10.0
620000,Casula,1,3,2,390,Semi-Detached,15662,30368,7.072,-33.95198,150.89671,44,1.5,166.6,30.52,2018.0,6.0
940000,Kingsgrove,1,2,1,493,House,12446,30576,4.491,-33.93971,151.09956,19,1.0,166.4,13.14,2019.0,10.0
1355000,Pendle Hill,3,5,2,362,House,7247,30680,1.964,-33.80402,150.95535,52,0.1,220.1,24.52,2021.0,11.0
705000,Bateau Bay,2,3,1,525,House,12146,30316,6.938,-33.38486,151.47128,31,1.28,159.0,58.53,2019.0,6.0
3258000,Dundas,3,5,2,325,Duplex,4740,32188,1.347,-33.80329,151.04263,30,0.1,220.1,16.94,2021.0,11.0
1500000,Rozelle,1,2,0,139,House,8725,75764,1.834,-33.86465,151.17428,17,0.25,172.6,3.3,2020.0,9.0
6200000,Balgowlah Heights,2,4,2,682,House,3342,59228,1.684,-33.8077,151.26552,79,0.1,220.1,8.19,2021.0,11.0
1570000,Rydalmere,1,3,2,504,House,6642,33540,3.8,-33.81378,151.03784,13,0.1,220.1,16.91,2021.0,10.0
1720000,Telopea,2,4,1,639,House,5426,29536,1.511,-33.79475,151.04194,70,0.1,220.1,17.4,2021.0,11.0
2850000,Caringbah,3,6,2,1714,House,11658,42380,4.089,-34.03534,151.12423,22,0.1,197.9,20.47,2021.0,5.0
806000,Cobbitty,2,5,2,503,House,2063,43576,52.164,-33.99798,150.67997,66,1.5,176.6,51.16,2017.0,11.0
4475000,Centennial Park,4,5,2,519,House,2376,65936,2.23,-33.89787,151.23244,38,1.5,176.6,4.19,2017.0,11.0
1900000,Ermington,2,4,2,645,House,10737,33644,4.135,-33.8105,151.06162,40,0.1,220.1,15.0,2021.0,10.0
1720000,Greystanes,4,6,4,809,House,22802,33800,8.969,-33.82378,150.93855,62,1.0,166.4,25.53,2019.0,9.0
585000,Ingleburn,2,3,1,225,Duplex,15039,33124,12.454,-34.0051,150.8581,41,1.28,159.0,36.04,2019.0,6.0
1800000,Burwood,2,3,3,2139,Apartment / Unit / Flat,16030,24856,2.435,-33.87838,151.10412,33,1.5,169.8,9.9,2018.0,3.0
1140000,Gordon,2,2,2,127,Apartment / Unit / Flat,7668,44564,3.789,-33.75743,151.15575,117,0.1,220.1,12.96,2021.0,11.0
